Tag	Accuracy with Unigram	Accuracy with Bigram
PROADJ 	 0.7945892491347036 	 0.8086458995549904
NPROP 	 0.8200890019071837 	 0.8257399166490076
PREP+ART 	 0.7945657036566127 	 0.8092816274634457
KC 	 0.7945657036566127 	 0.8090932636387181
PROPESS 	 0.7945657036566127 	 0.8091403545949001
PREP+ADV 	 0.7945657036566127 	 0.8092816274634457
PROSUB 	 0.7946127946127947 	 0.8089519907701725
V 	 0.8055614419250783 	 0.819288455652092
PREP+PROPESS 	 0.7945657036566127 	 0.8092816274634457
NUM 	 0.7977443431988887 	 0.8122248122248122
PREP+PROADJ 	 0.7945657036566127 	 0.8092816274634457
PDEN 	 0.7945657036566127 	 0.8086694450330814
IN 	 0.7946598855689765 	 0.8093758093758093
CUR 	 0.7945657036566127 	 0.8092816274634457
KS 	 0.7945657036566127 	 0.8051847142756233
ADV 	 0.7949188858279768 	 0.8099879918061736
PRO-KS 	 0.7945657036566127 	 0.8091403545949001
ADJ 	 0.8010407101316193 	 0.8162981799345436
PCP 	 0.8004991641355278 	 0.8143439052529962
PREP 	 0.7945892491347036 	 0.808104353558899
N 	 0.8189117280026371 	 0.8321442866897413
PREP+PRO-KS 	 0.7945657036566127 	 0.8092816274634457
ART 	 0.7945892491347036 	 0.8082220809493537
PU 	 0.7945657036566127 	 0.8092816274634457
PREP+PROSUB 	 0.7945657036566127 	 0.8092816274634457
ADV-KS 	 0.7945657036566127 	 0.8092816274634457
