Tag	Cross-Validation	RBF score	Poly	Linear	
PDEN	0.997	0.9970.9970.997
PREP+PRO-KS	0.9996	0.99960.99960.9996
PCP	0.9251	0.92510.92510.9251
IN	0.9985	0.99850.99850.9985
PRO-KS	0.9992	0.99920.99920.9992
NPROP	0.7692	0.76920.76920.7692
PU	0.9994	0.99940.99940.9994
PROADJ	0.9942	0.99420.99420.9942
NUM	0.9811	0.98110.98110.9811
PREP+PROADJ	0.9978	0.99780.99780.9978
ADV	0.9782	0.97820.97820.9782
ADV-KS	0.9998	0.99980.99980.9998
PREP+PROPESS	0.9995	0.99950.99950.9995
PROSUB	0.995	0.9950.9950.995
CUR	0.9998	0.99980.99980.9998
PROPESS	0.998	0.9980.9980.998
PREP+ADV	0.9999	0.99990.99990.9999
PREP+PROSUB	0.9985	0.99850.99850.9985
N	0.6465	0.64650.64650.6465
V	0.7828	0.78280.78280.7828
ADJ	0.8764	0.87640.87640.8764
KC	0.9974	0.99740.99740.9974
ART	0.9995	0.99950.99950.9995
PREP+ART	0.9988	0.99880.99880.9988
KS	0.996	0.9960.9960.996
PREP	0.9935	0.99350.99350.9935
