Tag	Accuracy with Unigram	Accuracy with Bigram
PREP+PROSUB 	 0.7154891824621865 	 0.7216159295424086
IN 	 0.7154891824621865 	 0.7216159295424086
PU 	 0.7154891824621865 	 0.7216159295424086
KS 	 0.7156806433084434 	 0.7250622247750335
PREP+PROADJ 	 0.7154891824621865 	 0.7216159295424086
PDEN 	 0.7158721041547004 	 0.7225732337736933
PREP+PRO-KS 	 0.7154891824621865 	 0.7216159295424086
PROADJ 	 0.7172123300784989 	 0.723339077158721
ADV-KS 	 0.7156806433084434 	 0.7218073903886655
NUM 	 0.7210415470036378 	 0.7229561554662072
PCP 	 0.7275512157763737 	 0.7306145893164848
PREP 	 0.7158721041547004 	 0.7212330078498947
ART 	 0.7154891824621865 	 0.7214244686961516
PROPESS 	 0.7156806433084434 	 0.7206586253111239
ADJ 	 0.7334865020103389 	 0.7405705533218457
N 	 0.7700555236454145 	 0.7735018188780395
PREP+ADV 	 0.7154891824621865 	 0.7216159295424086
KC 	 0.7154891824621865 	 0.7244878422362627
PROSUB 	 0.7166379475397281 	 0.7256366073138043
V 	 0.7445912310932414 	 0.7499521347884358
PREP+ART 	 0.7154891824621865 	 0.7216159295424086
NPROP 	 0.7528240474822899 	 0.7296572850852001
PRO-KS 	 0.7154891824621865 	 0.7198927819260961
ADV 	 0.7174037909247559 	 0.7212330078498947
PREP+PROPESS 	 0.7154891824621865 	 0.7216159295424086
CUR 	 0.7154891824621865 	 0.7216159295424086
