palavra	count
perderán	2900
cabrea	128
santos	9138
bom	5109
cínico	5813
próxima	9949
europeas	7043
manejan	778
nun	4267
link	294
institutos	4831
tenias	1189
oryzon	10612
colgando	4277
pasará	11441
dejéis	6909
otan	8874
equiparable	761
promueven	6300
escoger	6794
bogotá	5357
tomamos	1530
abandona	9441
buah	1556
suspenda	6646
móvil	5177
superará	80
cabra	6151
sardá	6368
pelotas	10489
emoción	8633
avisa	8918
cantado	7190
aceptamos	5165
atrás	11040
maldita	7750
11	9837
extra	54
impuestos	11268
toques	1138
an	10922
inicial	1421
aportar	3999
you	11249
generada	860
dos	8444
costa	10658
incertidumbre	9304
olvidéis	5726
nothing	4896
castaña	520
vez	7817
familiares	9472
permanezca	604
cuarto	6926
estupidez	10359
aprende	9028
crees	11473
pensiones	10361
venir	10852
viví	7961
pegando	9480
barrios	4478
cede	3523
soltar	6666
provocada	4088
mayorías	7051
fué	8867
mes	11245
diferencial	372
mar	10004
conducta	7632
gobierne	5349
euro	10633
incluía	1000
sola	536
had	4804
deseos	5850
jornada	11633
aires	9056
fallecido	408
pacte	2281
trate	4782
pib	11133
uruguay	7991
bienes	7891
monarquía	11772
superado	6442
visto	11761
toros	9928
dejaré	5878
ofrecen	8043
efectos	9433
esq	5977
válidos	7477
curas	8940
470	964
adios	8493
mandato	9542
jodiendo	3882
vallas	5155
sacar	11409
guarimbas	3701
creación	4582
simpatizantes	531
acabará	9965
dividida	10800
facer	4345
comprensión	1465
lista	10337
enteren	7201
collons	2191
academia	2479
si	11734
golpeando	9186
josé	9992
mezclar	4980
gallo	7224
andaluz	9974
artur	8364
hard	3531
condiciones	11259
menciona	1719
éso	4127
bbva	4655
francés	7452
excelente	9180
estamentos	143
panes	7773
ni	10725
capitales	4857
liao	2676
capa	3539
vergüenza	11820
aparte	10412
montada	4587
españolito	3190
despertó	4842
ganas	11580
oponer	2413
hallan	1270
cuentas	10884
turbas	1587
lógicamente	104
minuto	10797
columna	9027
vendieron	1107
planeado	2671
ps	3944
vasca	5569
hashtag	5889
2018	10091
estatalismo	8489
anexionar	1557
china	10165
cruel	4580
comunicacion	2504
pedirán	3347
separata	3892
sectores	6363
mataron	5728
separarme	1968
refuerzos	5001
lengua	10362
expressão	2553
adjetivo	3236
necesidades	233
party	2462
pactados	2314
primaria	4700
barco	10085
cuerpos	10939
maperezpirela	1959
miras	5809
charnego	1590
españistan	3300
comporta	3734
únicamente	8063
potestad	5219
publicar	3116
verdades	8800
pintan	7397
transición	8778
valoración	3922
imaginen	4354
critique	2673
mía	930
costo	1592
pillas	3946
pegas	5232
proclamas	1156
moneda	10534
narices	10219
isco	3847
16	10283
cura	8594
amparan	4299
zonas	8653
fundador	5706
guarden	395
siendo	7001
oculta	6747
terroristas	10605
empezaron	4740
avisados	3696
prohiban	263
realización	6883
contamos	8962
levantar	8810
tejero	8574
alcance	2612
amañado	7044
mejorar	6132
sigamos	8408
puig	6583
news	10292
transferencia	956
dije	9377
concesión	282
vulneración	3844
91	9152
millones	11797
producción	4854
raíz	8650
sacando	10570
justificado	3061
planeta	9492
presento	599
tardes	6299
viola	8845
profesores	10712
afectaría	7194
tarradellas	5883
auténtica	7331
independizado	8838
case	2706
vano	2548
valladolid	6481
around	1728
aplastado	3616
pudimos	2587
porque	9356
cgt	558
enserio	9477
won	5892
preguntando	7923
canadiense	2827
funcionario	5422
marianorajoy	9103
against	9626
memoria	10403
pira	2601
cuadras	64
from	11120
engendro	834
armas	11047
almenos	1785
puedas	7952
disse	1277
gente	11865
deberán	5498
invitamos	4778
cagada	8484
habilitados	1664
losfosfonautas	6811
joantelesur	464
tráfico	5266
querrá	5922
asesinatos	6376
sorprendente	707
something	970
arte	7273
aire	10059
apostar	4236
pertenece	11267
ineptitud	7202
entendiendo	2123
vete	11377
haber	5058
crecido	2717
uno	3560
euskadi	11211
tomara	244
causando	4151
pierdes	1276
pude	5930
formas	10454
igualito	7458
provocador	3302
dalas	1293
attacked	668
sinsentido	5458
sociedades	4592
recibidos	833
constitucionalistas	8221
mandado	9658
gritar	9449
febrero	6410
segundos	5992
politicamente	5652
destrozar	4221
280	7220
1a	973
ganarán	2892
leen	1174
madero	2404
gloria	5640
religión	7060
decir	6641
rick	2486
penoso	9628
falsas	10057
òmnium	5704
paleto	5030
públicos	10500
obtener	5816
ningún	737
partes	11545
gastando	3054
cumplimos	3009
days	2301
cambiemos	3128
facha	11543
integración	4014
esperaban	8270
faltan	10117
pata	7790
robar	10655
antena3	5861
rlc	8433
spoiler	3114
defienda	9940
malo	11287
haberse	8453
posterior	2005
sacad	6987
magnífica	2565
debemos	10942
cruda	3535
prestar	6632
participó	6530
new	9618
encargado	2781
terraza	5051
fiel	3823
quedas	7528
inaceptable	10426
cargado	9457
encuentras	3987
bárbaros	554
cojonudo	4974
sigui	169
ósea	3625
manejo	6912
opositores	7715
suspendió	3327
compartir	6180
daban	5396
vulgar	901
verlos	5606
funciones	8989
impulso	4835
instastories	6446
